# path	line	family	sha	classification	migration
# line "*" classifies every match under a path prefix.
docs/	*	*	-	record	no-change
.githooks/pre-push	21	host	cd118f95555d	not-a-launch	must-change
.githooks/pre-push	24	host	f0e0d78b8301	host-pin-exec	must-change
.github/workflows/skill-evals.yml	53	host	e2114f238cbe	not-a-launch	must-change
.github/workflows/skill-evals.yml	55	host	6aa784d5ae9b	not-a-launch	must-change
.github/workflows/skill-evals.yml	74	host	9b39bc637582	not-a-launch	must-change
.github/workflows/skill-evals.yml	78	host	12a163c1a9d2	not-a-launch	must-change
.github/workflows/skill-evals.yml	80	host	410fa1ac0d48	not-a-launch	must-change
.github/workflows/skill-evals.yml	87	host	00fcfa1fbe2f	not-a-launch	must-change
.github/workflows/skill-evals.yml	91	host	b514290d0da5	not-a-launch	must-change
.github/workflows/skill-evals.yml	95	host	b30cd831149a	host-pin-nonexec	must-change
.github/workflows/skill-evals.yml	112	host	b9007a01920e	host-pin-nonexec	must-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	49	host	5bfb31281372	host-pin-nonexec	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	50	host	51d7f35e5337	host-pin-nonexec	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	75	host	e0b48e0c48a1	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	151	host	618431232426	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	213	host	2318bb518a71	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	241	host	146148a2e7aa	doc-instruction	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	242	host	addc3e5b6ccd	doc-instruction	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	396	host	b6dc245dcdf7	not-a-launch	no-change
docs/superpowers/plans/2026-08-22-item48-pwsh7-feasibility.md	606	host	5e0b68b303ef	not-a-launch	no-change
