I0913 03:42:20.355561       1 resolver.go:85] Model ID gemini-3.8-flash-high not in local config, defaulting to CCPA
I0913 03:42:20.356124       1 resolver.go:111] Model resolved via default
I0913 03:42:20.356647      24 server.go:1560] Starting language server process with pid 54492
I0913 03:42:20.357181      24 server.go:1613] Language server version: 1.2.2
I0913 03:42:20.357181      24 server.go:613] Language server will attempt to listen on host localhost
I0913 03:42:20.369383      24 server.go:628] Language server listening on random port at 64386 for HTTPS (gRPC)
I0913 03:42:20.369913      24 server.go:636] Language server listening on random port at 64387 for HTTP
W0913 03:42:20.548167     120 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0913 03:42:20.548167     120 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0913 03:42:20.550685     120 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0913 03:42:20.551199     120 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
I0913 03:42:20.558125     126 store_client.go:680] summary store: starting background reconciliation (trigger=startup)
W0913 03:42:20.559786      24 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0913 03:42:20.559786      24 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0913 03:42:20.560337      24 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0913 03:42:20.560337      24 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0913 03:42:20.560337     129 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0913 03:42:20.560337     129 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0913 03:42:20.560337     129 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0913 03:42:20.560337     129 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0913 03:42:20.560861      24 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0913 03:42:20.560861      24 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0913 03:42:20.560861      24 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
