I0913 04:49:03.376290       1 resolver.go:85] Model ID gemini-3.8-flash-high not in local config, defaulting to CCPA
I0913 04:49:03.377811       1 resolver.go:111] Model resolved via default
I0913 04:49:03.377811      23 server.go:1560] Starting language server process with pid 29440
I0913 04:49:03.378155      23 server.go:1613] Language server version: 1.2.2
I0913 04:49:03.378155      23 server.go:613] Language server will attempt to listen on host localhost
I0913 04:49:03.391282      23 server.go:628] Language server listening on random port at 59053 for HTTPS (gRPC)
I0913 04:49:03.391805      23 server.go:636] Language server listening on random port at 59054 for HTTP
W0913 04:49:03.540833      83 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0913 04:49:03.540833      83 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0913 04:49:03.543958      83 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0913 04:49:03.543958      83 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
I0913 04:49:03.551347      56 store_client.go:680] summary store: starting background reconciliation (trigger=startup)
W0913 04:49:03.553441      23 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0913 04:49:03.553441      23 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0913 04:49:03.553441      23 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0913 04:49:03.553441      23 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0913 04:49:03.554262      23 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0913 04:49:03.554262      23 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0913 04:49:03.554783      23 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0913 04:49:03.554783      23 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0913 04:49:03.554783      23 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0913 04:49:03.554783      23 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0913 04:49:03.554783      23 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0913 04:49:03.554783      23 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0913 04:49:03.554783     117 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0913 04:49:03.554783     117 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0913 04:49:03.554783     117 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0913 04:49:03.554783     117 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0913 04:49:03.555304      23 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
I0913 04:49:03.556344      56 store_client.go:730] summary store: reconciliation complete, synced 8 records
W0913 04:49:03.556344      56 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0913 04:49:03.556344      56 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0913 04:49:03.556344      56 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0913 04:49:03.556344      56 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0913 04:49:03.556344      23 defaults.go:778] failed to get cs path: cs path /usr/bin/cs invalid
I0913 04:49:03.556344      23 manager.go:108] Creating trajectory store manager with proto store and SQLite store
W0913 04:49:03.558409      23 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0913 04:49:03.558409      23 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0913 04:49:03.558409      23 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0913 04:49:03.558409      23 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0913 04:49:03.559489     198 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0913 04:49:03.559489     198 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
